"","Title","Abstract"
"86","3DIV update for 2021: a comprehensive resource of 3D genome and 3D cancer genome.","Three-dimensional (3D) genome organization is tightly coupled with gene regulation in various biological processes and diseases. In cancer, various types of large-scale genomic rearrangements can disrupt the 3D genome, leading to oncogenic gene expression. However, unraveling the pathogenicity of the 3D cancer genome remains a challenge since closer examinations have been greatly limited due to the lack of appropriate tools specialized for disorganized higher-order chromatin structure. Here, we updated a 3D-genome Interaction Viewer and database named 3DIV by uniformly processing ∼230 billion raw Hi-C reads to expand our contents to the 3D cancer genome. The updates of 3DIV are listed as follows: (i) the collection of 401 samples including 220 cancer cell line/tumor Hi-C data, 153 normal cell line/tissue Hi-C data, and 28 promoter capture Hi-C data, (ii) the live interactive manipulation of the 3D cancer genome to simulate the impact of structural variations and (iii) the reconstruction of Hi-C contact maps by user-defined chromosome order to investigate the 3D genome of the complex genomic rearrangement. In summary, the updated 3DIV will be the most comprehensive resource to explore the gene regulatory effects of both the normal and cancer 3D genome. '3DIV' is freely available at http://3div.kr."
"87","Serine-70 phosphorylated Bcl-2 prevents oxidative stress-induced DNA damage by modulating the mitochondrial redox metabolism.","Bcl-2 phosphorylation at serine-70 (S70pBcl2) confers resistance against drug-induced apoptosis. Nevertheless, its specific mechanism in driving drug-resistance remains unclear. We present evidence that S70pBcl2 promotes cancer cell survival by acting as a redox sensor and modulator to prevent oxidative stress-induced DNA damage and execution. Increased S70pBcl2 levels are inversely correlated with DNA damage in chronic lymphocytic leukemia (CLL) and lymphoma patient-derived primary cells as well as in reactive oxygen species (ROS)- or chemotherapeutic drug-treated cell lines. Bioinformatic analyses suggest that S70pBcl2 is associated with lower median overall survival in lymphoma patients. Empirically, sustained expression of the redox-sensitive S70pBcl2 prevents oxidative stress-induced DNA damage and cell death by suppressing mitochondrial ROS production. Using cell lines and lymphoma primary cells, we further demonstrate that S70pBcl2 reduces the interaction of Bcl-2 with the mitochondrial complex-IV subunit-5A, thereby reducing mitochondrial complex-IV activity, respiration and ROS production. Notably, targeting S70pBcl2 with the phosphatase activator, FTY720, is accompanied by an enhanced drug-induced DNA damage and cell death in CLL primary cells. Collectively, we provide a novel facet of the anti-apoptotic Bcl-2 by demonstrating that its phosphorylation at serine-70 functions as a redox sensor to prevent drug-induced oxidative stress-mediated DNA damage and execution with potential therapeutic implications."
"88","BCCIP is required for nucleolar recruitment of eIF6 and 12S pre-rRNA production during 60S ribosome biogenesis.","Ribosome biogenesis is a fundamental process required for cell proliferation. Although evolutionally conserved, the mammalian ribosome assembly system is more complex than in yeasts. BCCIP was originally identified as a BRCA2 and p21 interacting protein. A partial loss of BCCIP function was sufficient to trigger genomic instability and tumorigenesis. However, a complete deletion of BCCIP arrested cell growth and was lethal in mice. Here, we report that a fraction of mammalian BCCIP localizes in the nucleolus and regulates 60S ribosome biogenesis. Both abrogation of BCCIP nucleolar localization and impaired BCCIP-eIF6 interaction can compromise eIF6 recruitment to the nucleolus and 60S ribosome biogenesis. BCCIP is vital for a pre-rRNA processing step that produces 12S pre-rRNA, a precursor to the 5.8S rRNA. However, a heterozygous Bccip loss was insufficient to impair 60S biogenesis in mouse embryo fibroblasts, but a profound reduction of BCCIP was required to abrogate its function in 60S biogenesis. These results suggest that BCCIP is a critical factor for mammalian pre-rRNA processing and 60S generation and offer an explanation as to why a subtle dysfunction of BCCIP can be tumorigenic but a complete depletion of BCCIP is lethal."
"89","MicroRNA-based regulation of Aurora A kinase in breast cancer.","The involvement of non-coding RNAs (ncRNAs) in cellular physiology and disease pathogenesis is becoming increasingly relevant in recent years specifically in cancer research. Breast cancer (BC) has become a health concern and accounts for most of the cancer-related incidences and mortalities reported amongst females. In spite of the presence of promising tools for BC therapy, the mortality rate of metastatic BC cases is still high. Therefore, the genomic exploration of the BC subtype and the use of ncRNAs for possible regulation is pivotal. The expression and prognostic values of AURKA gene were assessed by Oncomine, GEPIA, KM-plotter, and bc-GenExMiner v4.4, respectively. Associated proteins and functional enrichment were evaluated by Cytoscape and DAVID databases. Additionally, molecular docking approach was employed to investigate the regulatory role of hsa-miR-32-3p assisted argonaute (AGO) protein of AURKA gene in BC. AURKA gene was highly expressed in patients with BC relative to normal counterpart and significantly correlated with poor survival. The docking result suggested that AURKA could be regulated by hsa-miR-32-3p as confirmed by the reported binding energy and specific interactions. The study gives some insights into role of AURKA and its regulation by microRNAs through AGO protein. It also provides exciting opportunities for cancer therapeutic intervention."
"90","MEK inhibitors reduce cellular expression of ACE2, pERK, pRb while stimulating NK-mediated cytotoxicity and attenuating inflammatory cytokines relevant to SARS-CoV-2 infection.","COVID-19 affects vulnerable populations including elderly individuals and patients with cancer. Natural Killer (NK) cells and innate-immune TRAIL suppress transformed and virally-infected cells. ACE2, and TMPRSS2 protease promote SARS-CoV-2 infectivity, while inflammatory cytokines IL-6, or G-CSF worsen COVID-19 severity. We show MEK inhibitors (MEKi) VS-6766, trametinib and selumetinib reduce ACE2 expression in human cells. In some human cells, remdesivir increases ACE2-promoter luciferase-reporter expression, ACE2 mRNA and protein, and ACE2 expression is attenuated by MEKi. In serum-deprived and stimulated cells treated with remdesivir and MEKi we observed correlations between pRB, pERK, and ACE2 expression further supporting role of proliferative state and MAPK pathway in ACE2 regulation. We show elevated cytokines in COVID-19-(+) patient plasma (N = 9) versus control (N = 11). TMPRSS2, inflammatory cytokines G-CSF, M-CSF, IL-1α, IL-6 and MCP-1 are suppressed by MEKi alone or with remdesivir. We observed MEKi stimulation of NK-cell killing of target-cells, without suppressing TRAIL-mediated cytotoxicity. Pseudotyped SARS-CoV-2 virus with a lentiviral core and SARS-CoV-2 D614 or G614 SPIKE (S) protein on its envelope infected human bronchial epithelial cells, small airway epithelial cells, or lung cancer cells and MEKi suppressed infectivity of the pseudovirus. We show a drug class-effect with MEKi to stimulate NK cells, inhibit inflammatory cytokines and block host-factors for SARS-CoV-2 infection leading also to suppression of SARS-CoV-2-S pseudovirus infection of human cells. MEKi may attenuate SARS-CoV-2 infection to allow immune responses and antiviral agents to control disease progression."
"92","Intracellular hyaluronic acid-binding protein 4 (HABP4): a candidate tumor suppressor in colorectal cancer.","Hyaluronic Acid-binding protein 4 (HABP4) is a regulatory protein of 57 kDa that is functionally involved in transcription regulation and RNA metabolism and shows several characteristics common to oncoproteins or tumor suppressors, including altered expression in cancer tissues, nucleus/cytoplasm shuttling, intrinsic lack of protein structure, complex interactomes and post translational modifications. Its gene has been found in a region on chromosome 9q22.3-31, which contains SNP haplotypes occurring in individuals with a high risk for familial colon cancer. To test a possible role of HABP4 in tumorigenesis we generated knockout mice by the CRISPR/Cas9 method and treated the animals with azoxymethane (AOM)/dextran sodium sulfate (DSS) for induction of colon tumors. HABP4-/- mice, compared to wild type mice, had more and larger tumors, and expressed more of the proliferation marker proteins Cyclin-D1, CDK4 and PCNA. Furthermore, the cells of the bottom of the colon crypts in the HABP4-/- mice divided more rapidly. Next, we generated also HABP4-/- HCT 116 cells, in cell culture and found again an increased proliferation in clonogenic assays in comparison to wild-type cells. Our study of the protein expression levels of HABP4 in human colon cancer samples, through immunohistochemistry assays, showed, that 30% of the tumors analyzed had low expression of HABP4. Our data suggest that HABP4 is involved in proliferation regulation of colon cells in vitro and in vivo and that it is a promising new candidate for a tumor suppressor protein that can be explored both in the diagnosis and possibly therapy of colon cancer."
"93","Immune profiling of the bone marrow microenvironment in patients with high-risk localized prostate cancer.","Bone marrow (BM) is a primary metastatic site in prostate cancer (PC) and bone invasion is considered incurable. T cell-mediated immune surveillance is essential in controlling both tumorigenesis and initiation of metastases. Beside tropism, dissemination of PC cells to the BM may be facilitated by defects in BM immune homeostasis predisposing this niche to colonization. To evaluate the BM immune microenvironment in locally advanced, non-metastatic PC, we performed flow cytometry analysis of myeloid and lymphoid subsets in BM aspirates and peripheral blood collected during prostatectomy. Healthy BM aspirates served to establish a reference range for comparison. We found alterations in BM immune composition of PC patients, including an increased CD4/CD8 ratio, enrichment of CD4+ T cells, increased CD56+CD3+ NKT and CD56+CD3- NK yields compared to healthy controls. The lymphoid phenotype remained comparable regarding T cell activation and chemokine receptor-based polarization patterns. Additionally, we found increased B7H3 expression in the myeloid monocyte/macrophage subset and decreased DC infiltration in BM of PC patients. These findings suggest that alterations in the immune milieu may limit immune surveillance that compromise the ability of the BM microenvironment to prevent tumor dissemination, and predispose development of bone metastases in a subset of patients with localized PC."
"94","Significant Published Articles for Pharmacy Nutrition Support Practice in 2019.","The purpose of this article is to assist the pharmacist engaged in nutrition support therapy in staying current with pertinent literature. Methods: Several clinical pharmacists engaged in nutrition support therapy compiled a list of articles published in 2019 considered important to their clinical practice. The citation list was compiled into a single spreadsheet where the author participants were asked to assess whether the article was considered important to nutrition support pharmacy practice. A culled list of publications was then identified whereby at least 5 out of the 8 author participants considered the paper to be important. Guideline and consensus papers from professional organizations, important to practice but not ranked, were also included. Results: A total of 111 articles were identified; 6 from the primary literature were voted by the group to be of high importance. An additional 9 organizational guidelines, position, recommendation, or consensus papers were also identified. The top-ranked articles from the primary literature were summarized and a narrative regarding its implications to pharmacy nutrition support practice were provided. Conclusion: We recommend that pharmacists engaged in nutrition support therapy be familiar with these articles as it pertains to their practice."
"95","HER2 splice variants in breast cancer: investigating their impact on diagnosis and treatment outcomes.","Overexpression of the HER2 receptor occurs in approximately 20% of breast cancer patients. HER2 positivity is associated with poor prognosis and aggressive tumour phenotypes, which led to rapid progress in HER2 targeted therapeutics and diagnostic testing. Whilst these advances have greatly increased patients' chances of survival, resistance to HER2 targeted therapies, be that intrinsic or acquired, remains a problem. Different forms of the HER2 protein exist within tumours in tandem and can display altered biological activities. Interest in HER2 variants in breast cancer increased when links between resistance to anti-HER2 therapies and a particular variant, Δ16-HER2, were identified. Moreover, the P100 variant potentially reduces the efficacy of the anti-HER2 therapy trastuzumab. Another variant, Herstatin, exhibits 'auto-inhibitory' behaviour. More recently, new HER2 variants have been identified and are currently being assessed for their pro- and anti-cancer properties. It is important when directing the care of patients to consider HER2 variants collectively. This review considers HER2 variants in the context of the tumour environment where multiple variants are co-expressed at altered ratios. This study also provides an up to date account of the landscape of HER2 variants and links this to patterns of resistance against HER2 therapies and treatment plans."
"96","A case report of androgen receptor inhibitor therapy in recurrent high-grade serous ovarian cancer.","Ovarian cancer is common gynaecological malignancy and a leading cause of death among women. Despite the advances in treatment strategies, majority of patients present with recurrence after first- or second-line treatment. Targeted therapy that has proven to be effective in other advanced or metastatic solid tumors have also demonstrated its efficacy in ovarian cancer. Recent studies have shown that the androgen receptor (AR) signalling is involved in pathogenicity and progression of cancer. Current observations suggest AR could be a potential target in managing the disease. In this case report we present a patient with high grade serous ovarian cancer (HGSOC) with multiple relapses with excellent disease control on AR inhibition with bicalutamide."
"97","Evaluating Six Commercially Available Closed-System Drug-Transfer Devices Against NIOSH's 2015 Draft Vapor Protocol.","Purpose: In 2015, the National Institute for Occupational Safety and Health (NIOSH) published a draft vapor containment protocol to quantitatively evaluate combined liquid, aerosol, and vapor containment performance of commercially available closed-system drug-transfer devices (CSTDs) that claim to be effective for gas/vapor containment within a controlled test environment. Until the release of this proposed protocol, no standard method for evaluating airtightness of CSTDs existed. The aim of this study was to evaluate six commercially available CSTDs utilizing NIOSH draft protocol methodology to evaluate vapor containment under a robust vapor challenge. Methods: In this study, six commercially available CSTDs were tested utilizing draft NIOSH vapor containment protocol methodology to simulate drug compounding and administration using 70% isopropyl alcohol (IPA) as the challenge agent. All device manipulations were carried out in an enclosed test chamber. A Miran sapphIRe gas analyzer was used to detect IPA vapor levels that escaped the device. Study test included the two tasks designated by the NIOSH protocol, with additional steps added to the evaluation. Tasks were repeated 10 times for each device. Results: Only three of the six tested CSTDs (Equashield®, HALO®, and PhaSealTM) had an average IPA vapor release below the quantifiable performance threshold (1.0 ppm) for all tasks performed. This value was selected by NIOSH to represent the performance threshold for successful containment. The remaining three CSTDs had vapor release above 1 ppm at various times during the IPA manipulation process. Conclusion: Equashield®, HALO®, and PhaSealTM devices tested met the 2015 NIOSH protocol quantifiable performance threshold, functioning as a truly closed system. Quantifiable effective data may be useful in product selection."
"98","Auto-antibodies against apolipoprotein A-1 block cancer cells proliferation and induce apoptosis.","Auto-antibodies against apoA-1 (anti-apoA-1 IgGs) have been identified as important actors of atherosclerosis development through pro-inflammatory and pro-atherogenic properties and to also induce apoptosis in tumoral neuronal and lymphocyte derived cell lines through unknown mechanisms. The purpose of this study was to explore the cellular pathways involved in tumoral cell survival modulated by anti-apoA-1 antibodies. We observed that anti-apoA-1 antibodies induce growth arrest (in G2/M phase) and cell apoptosis through caspase 3 activation, accompanied by a selective p53 phosphorylation on serine 15. RNA sequencing indicated that anti-apoA-1 IgGs affect the expression of more than 950 genes belonging to five major groups of genes and respectively involved in i) cell proliferation inhibition, ii) p53 stabilisation and regulation, iii) apoptosis regulation, iv) inflammation regulation, and v) oxidative stress. In conclusion, anti-apoA-1 antibodies seem to have a role in blocking tumoral cell proliferation and survival, by activating a major tumor suppressor protein and by modulating the inflammatory and oxidative stress response. Further investigations are needed to explore a possible anti-cancer therapeutic approach of these antibodies in very specific and circumscribed conditions."
"99","Evidence for context-dependent functions of KDM5B in prostate development and prostate cancer.","Prostate cancer (PCa) is one of the leading causes of cancer-related deaths worldwide. Prostate tumorigenesis and PCa progression involve numerous genetic as well as epigenetic perturbations. Histone modification represents a fundamental epigenetic mechanism that regulates diverse cellular processes, and H3K4 methylation, one such histone modification associated with active transcription, can be reversed by dedicated histone demethylase KDM5B (JARID1B). Abnormal expression and functions of KDM5B have been implicated in several cancer types including PCa. Consistently, our bioinformatics analysis reveals that the KDM5B mRNA levels are upregulated in PCa compared to benign prostate tissues, and correlate with increased tumor grade and poor patient survival, supporting an oncogenic function of KDM5B in PCa. Surprisingly, however, when we generated prostate-specific conditional Kdm5b knockout mice using probasin (Pb) promoter-driven Cre: loxP system, we observed that Kdm5b deletion did not affect normal prostate development but instead induced mild hyperplasia. These results suggest that KDM5B may possess context-dependent roles in normal prostate development vs. PCa development and progression."
"100","Role of Exosomes in the Progression, Diagnosis, and Treatment of Gliomas.","Gliomas are the most common primary malignant brain tumors associated with a low survival rate. Even after surgery, radiotherapy, and chemotherapy, gliomas still have a poor prognosis. Extracellular vesicles are a heterogeneous group of cell-derived membranous structures. Exosomes are a type of extracellular vesicles, their size ranges from 30 nm to 100 nm. Recent studies have proved that glioma cells could release numerous exosomes; therefore, exosomes have gained increasing attention in glioma-related research. Recent studies have confirmed the importance of extracellular vesicles, particularly exosomes, in the development of brain tumors, including gliomas. Exosomes mediate intercellular communication in the tumor microenvironment by transporting biomolecules (proteins, lipids, deoxyribonucleic acid, and ribonucleic acid); thereby playing a prominent role in tumor proliferation, differentiation, metastasis, and resistance to chemotherapy or radiation. Given their nanoscale size, exosomes can traverse the blood-brain barrier and promote tumor progression by modifying the tumor microenvironment. Based on their structural and functional characteristics, exosomes are demonstrating their value not only as diagnostic and prognostic markers, but also as tools in therapies specifically targeting glioma cells. Therefore, exosomes are a promising therapeutic target for the diagnosis, prognosis, and treatment of malignant gliomas. More research will be needed before exosomes can be used in clinical applications. Here, we describe the exosomes, their morphology, and their roles in the diagnosis and progression of gliomas. In addition, we discuss the potential of exosomes as a therapeutic target/drug delivery system for patients with gliomas."
